Timestamp,Tweet,username,hashtags,followers_count
2020-06-16 20:12:43,"b""RT @Trivia_WorldCup: #OnThisDay in #France1998 Brazil \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7 beat Morroco \xf0\x9f\x87\xb2\xf0\x9f\x87\xa6 3-0 and 'O Fen\xc3\xb4meno' @Ronaldo \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7 scored his very first #WorldCup \xf0\x9f\x8f\x86\xe2\x80\xa6""",b'Kristop95302765',"['OnThisDay', 'France1998', 'WorldCup']",1358
2020-06-16 20:12:01,b'RT @Trivia_WorldCup: #OnThisDay in #Germany2006 against Serbia &amp; Montenegro an 18 year-old Lionel Messi \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 made his #WorldCup \xf0\x9f\x8f\x86 debut scori\xe2\x80\xa6',b'Kristop95302765',"['OnThisDay', 'Germany2006', 'WorldCup']",1358
2020-06-16 20:07:21,b'RT @Trivia_WorldCup: #OnThisDay in #Germany2006 against Serbia &amp; Montenegro an 18 year-old Lionel Messi \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 made his #WorldCup \xf0\x9f\x8f\x86 debut scori\xe2\x80\xa6',b'Trivia_WorldCup',"['OnThisDay', 'Germany2006', 'WorldCup']",5584
2020-06-16 20:07:13,b'RT @FIFAcom: \xf0\x9f\x97\x93 #OnThisDay in 2010\n\n\xf0\x9f\x9a\x80 @DiegoForlan7 opened his #WorldCup South Africa 2010 account in some style for \xf0\x9f\x87\xba\xf0\x9f\x87\xbe @Uruguay \n\n\xf0\x9f\xa5\x87 It was\xe2\x80\xa6',b'MalungisaYawa2',"['OnThisDay', 'WorldCup']",189
2020-06-16 20:07:08,"b'RT @Trivia_WorldCup: #OnThisDay at the #WorldCup \xf0\x9f\x8f\x86 #Germany2006 Argentina \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 crushed Serbia and Montenegro 6-0 and Esteban ""Cuchu"" Cambiass\xe2\x80\xa6'",b'Trivia_WorldCup',"['OnThisDay', 'WorldCup', 'Germany2006']",5584
2020-06-16 20:07:01,"b""RT @Trivia_WorldCup: #OnThisDay in #France1998 Brazil \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7 beat Morroco \xf0\x9f\x87\xb2\xf0\x9f\x87\xa6 3-0 and 'O Fen\xc3\xb4meno' @Ronaldo \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7 scored his very first #WorldCup \xf0\x9f\x8f\x86\xe2\x80\xa6""",b'Trivia_WorldCup',"['OnThisDay', 'France1998', 'WorldCup']",5584
2020-06-16 20:05:50,"b'RT @Tr_CopaMundial: #OnThisDay at the #WorldCup \xf0\x9f\x8f\x86 #Germany2006 Argentina \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 crushed Serbia and Montenegro 6-0 and Esteban ""Cuchu"" Cambiasso\xe2\x80\xa6'",b'Tr_CopaMundial',"['OnThisDay', 'WorldCup', 'Germany2006']",5283
2020-06-16 20:03:22,b'FIFA World Cup Matchday 8 - Portugal v Germany #WorldCup #WorldCup2022 #Qatar2022 #FM20 #FootballManager\xe2\x80\xa6 https://t.co/guDF6CkfIP',b'JonnyGamesFM',"['WorldCup', 'WorldCup2022', 'Qatar2022', 'FM20', 'FootballManager']",197
2020-06-16 20:03:11,b'RT @FIFAcom: \xf0\x9f\x97\x93 #OnThisDay in 2010\n\n\xf0\x9f\x9a\x80 @DiegoForlan7 opened his #WorldCup South Africa 2010 account in some style for \xf0\x9f\x87\xba\xf0\x9f\x87\xbe @Uruguay \n\n\xf0\x9f\xa5\x87 It was\xe2\x80\xa6',b'precious_Manj52',"['OnThisDay', 'WorldCup']",57
2020-06-16 20:02:11,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'luisccustodio5',[],14
2020-06-16 20:01:41,"b""RT @premierleague: Granit Xhaka's left foot \xf0\x9f\x91\x8c\n\n@Arsenal fans get to admire it week-in, week-out\n\n#SRBSUI #SUI #WorldCup https://t.co/rxEHbK\xe2\x80\xa6""",b'afcjoshh',"['SRBSUI', 'SUI', 'WorldCup']",4520
2020-06-16 19:56:08,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'ImAbhiM',[],3394
2020-06-16 19:54:04,b'RT @GoNews_India: The threat of #coronaviruspandemic looms over the @ICC T20 #WorldCup 2020 which is scheduled to take place in #Australia\xe2\x80\xa6',b'CHATURVEDI989',"['coronaviruspandemic', 'WorldCup', 'Australia']",204
2020-06-16 19:53:54,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'myselfshubham49',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",3
2020-06-16 19:53:00,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'chedjoukm',[],11244
2020-06-16 19:52:12,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'jotaemerr',[],217
2020-06-16 19:51:51,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'Phantom04995246',[],576
2020-06-16 19:50:55,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'Salvato95551627',[],251
2020-06-16 19:45:06,b'RT @FIFAcom: \xf0\x9f\x97\x93 #OnThisDay in 2010\n\n\xf0\x9f\x9a\x80 @DiegoForlan7 opened his #WorldCup South Africa 2010 account in some style for \xf0\x9f\x87\xba\xf0\x9f\x87\xbe @Uruguay \n\n\xf0\x9f\xa5\x87 It was\xe2\x80\xa6',b'RUZETT0',"['OnThisDay', 'WorldCup']",361
2020-06-16 19:44:46,"b""@MailOnline rioting on the streets of Paris after winning the semi's in the #worldcup. https://t.co/lZ5HJ7Wtzf peop\xe2\x80\xa6 https://t.co/NxUJhISZE4""",b'MattRPRT',['worldcup'],3646
2020-06-16 19:44:28,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'shevi07',[],631
2020-06-16 19:43:44,b'RT @FIFAcom: \xf0\x9f\x97\x93 #OnThisDay in 2010\n\n\xf0\x9f\x9a\x80 @DiegoForlan7 opened his #WorldCup South Africa 2010 account in some style for \xf0\x9f\x87\xba\xf0\x9f\x87\xbe @Uruguay \n\n\xf0\x9f\xa5\x87 It was\xe2\x80\xa6',b'URUinUSA',"['OnThisDay', 'WorldCup']",938
2020-06-16 19:42:34,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'official_marcks',[],362
2020-06-16 19:42:27,b'RT @CarryOnJoan: Going through to the knockout stages of the #WorldCup of #CarryOnUnsungHeroes from Group F are:\n\nCarol Hawkins with 60% of\xe2\x80\xa6',b'HeatherAnne00',"['WorldCup', 'CarryOnUnsungHeroes']",200
2020-06-16 19:41:01,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'mockery_pot',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",23
2020-06-16 19:40:03,"b'RT @brianwesaala: ""I don\'t see a South American country winning another #WorldCup,"" @Davidsgoldblatt pointing to the increasing gap between\xe2\x80\xa6'",b'futbolprof',['WorldCup'],2950
2020-06-16 19:39:49,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'ice_ikay',[],1234
2020-06-16 19:39:38,b'RT @FIFAcom: \xf0\x9f\x97\x93 #OnThisDay in 2010\n\n\xf0\x9f\x9a\x80 @DiegoForlan7 opened his #WorldCup South Africa 2010 account in some style for \xf0\x9f\x87\xba\xf0\x9f\x87\xbe @Uruguay \n\n\xf0\x9f\xa5\x87 It was\xe2\x80\xa6',b'thatsickson',"['OnThisDay', 'WorldCup']",1195
2020-06-16 19:37:30,"b'European teams will continue to dominate the #FIFA #WorldCup, says @Davidsgoldblatt  #FSFgoldblatt. But #China migh\xe2\x80\xa6 https://t.co/dGeShwCyQu'",b'Danyel_Reiche',"['FIFA', 'WorldCup', 'FSFgoldblatt', 'China']",1923
2020-06-16 19:36:58,"b'""I don\'t see a South American country winning another #WorldCup,"" @Davidsgoldblatt pointing to the increasing gap b\xe2\x80\xa6 https://t.co/l1deUuL8OR'",b'brianwesaala',['WorldCup'],268
2020-06-16 19:36:15,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'CovenantOyetade',[],2970
2020-06-16 19:35:54,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'tonyfrds',[],93
2020-06-16 19:34:07,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'HamidQuad',[],0
2020-06-16 19:33:10,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'Priscil40637805',[],2
2020-06-16 19:33:03,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'mubiee_',[],2076
2020-06-16 19:32:47,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'e_albuque',[],12
2020-06-16 19:31:06,b'RT @FIFAWorldCup: \xf0\x9f\x94\x99 How might today\xe2\x80\x99s #WorldCup stars look if they played 50 years ago?\n\nWe\xe2\x80\x99ve got some guesses... \xf0\x9f\x98\x84\n\nIntroducing first: @A\xe2\x80\xa6',b'e_albuque',['WorldCup'],12
2020-06-16 19:30:36,b'RT @e_architect: \xe2\x80\x98Diamond in the Desert\xe2\x80\x99\n\n- Education City Stadium Qatar \xe2\x80\x93 2022 FIFA World Cup Venue:\n\nhttps://t.co/rSusyi7u2N\n\n#Stadium #Q\xe2\x80\xa6',b'RasmusbyRasmus',['Stadium'],1789
2020-06-16 19:29:58,"b'RT @FIFAcom: \xf0\x9f\x93\x85 #OnThisDay in 2002, \xf0\x9f\x87\xb8\xf0\x9f\x87\xb3@FootballSenegal reached the quarter-finals in their debut #WorldCup \xf0\x9f\xa4\xaf\n\nThey did so after a match desc\xe2\x80\xa6'",b'TundeGbedo',"['OnThisDay', 'WorldCup']",4004
2020-06-16 19:27:46,b'RT @hergunbirfutbol: Thierry Daniel Henry \xf0\x9f\x87\xab\xf0\x9f\x87\xb7\n\n#Henry #Titi #France #Arsenal #Barcelona #Juventus #Monaco #WorldCup #EuropenCup #FIFA #UEFA\xe2\x80\xa6',b'TheX97703351',"['Henry', 'Titi', 'France', 'Arsenal', 'Barcelona', 'Juventus', 'Monaco', 'WorldCup', 'EuropenCup', 'FIFA', 'UEFA']",1
2020-06-16 19:27:32,b'RT @FIFAcom: \xf0\x9f\x97\x93 #OnThisDay in 2010\n\n\xf0\x9f\x9a\x80 @DiegoForlan7 opened his #WorldCup South Africa 2010 account in some style for \xf0\x9f\x87\xba\xf0\x9f\x87\xbe @Uruguay \n\n\xf0\x9f\xa5\x87 It was\xe2\x80\xa6',b'frankjcv8',"['OnThisDay', 'WorldCup']",125
2020-06-16 19:27:16,b'RT @FIFAcom: \xf0\x9f\xa7\xa4 The only goalkeeper to win the Golden Ball award at a #WorldCup \xf0\x9f\x91\x8f\n\n\xf0\x9f\x8e\x82 Happy birthday @OliverKahn! \xf0\x9f\xa5\xb3\n\nhttps://t.co/1FoS3SPQKI',b'Obinnablesing',['WorldCup'],10137
2020-06-16 19:27:01,b'RT @FIFAWorldCup: What if @Cristiano was born 50 years earlier? \xf0\x9f\xa4\x94\n\nWe gave the @selecaoportugal superstar a vintage look befitting the 1970\xe2\x80\xa6',b'che_rochi',[],1382
2020-06-16 19:24:56,b'@FIFAcom  is imagining what if some of nowadays footballers were born in the 50s \xf0\x9f\x98\x86\n\nHere you are @MoSalah one. A vi\xe2\x80\xa6 https://t.co/I5BDtmMHie',b'MagedMorsy',[],679
2020-06-16 19:24:19,b'RT @FIFAcom: \xf0\x9f\x97\x93 #OnThisDay in 2010\n\n\xf0\x9f\x9a\x80 @DiegoForlan7 opened his #WorldCup South Africa 2010 account in some style for \xf0\x9f\x87\xba\xf0\x9f\x87\xbe @Uruguay \n\n\xf0\x9f\xa5\x87 It was\xe2\x80\xa6',b'nlptrena',"['OnThisDay', 'WorldCup']",167
2020-06-16 19:24:13,"b'RT @ftblsm: #OnThisDayInFootball in 1986 at the Estadio Azteca in Mexico City, Mexico beat Bulgaria 2-0 in the Second Round match at the 19\xe2\x80\xa6'",b'McTagle9',['OnThisDayInFootball'],1063
2020-06-16 19:24:08,b'RT @CarryOnJoan: Who are you going to vote for in Group G of the #WorldCup of #CarryOnUnSungHeroes?\n\nTricky one this - think carefully! Top\xe2\x80\xa6',b'TarquinTheDuck',"['WorldCup', 'CarryOnUnSungHeroes']",59
2020-06-16 19:24:05,"b""RT @3retro_: You don't start a #WorldCup campaign better than this!\n\nAfter just 27 seconds @England captain @bryanrobson led by example, sc\xe2\x80\xa6""",b'Redvinny',['WorldCup'],57
2020-06-16 19:23:51,b'RT @CarryOnJoan: Going through to the knockout stages of the #WorldCup of #CarryOnUnsungHeroes from Group F are:\n\nCarol Hawkins with 60% of\xe2\x80\xa6',b'TarquinTheDuck',"['WorldCup', 'CarryOnUnsungHeroes']",59
